longitude,latitude
-120.65559818219705,39.69356523823575
-120.65553718209769,39.69362223754943
-120.65542218246996,39.69384723856443
-120.65526518211111,39.69391123836589
-120.65490018223814,39.69394323858998
-120.65474318187928,39.69412023871904
-120.65472118213799,39.694305237888514
-120.6549681820102,39.69500823795226
-120.65504818237612,39.69558123832425
-120.65490118296135,39.69583123799488
-120.65462818225157,39.696234237747504
-120.65473118218372,39.696484238509
-120.65448618285966,39.69737923880212
-120.6548071823517,39.69785623817376
-120.65541318224912,39.6995522384236
-120.6554321825157,39.69992323836553
-120.65522018280359,39.70049623871257
-120.65493718294638,39.70082623910919
-120.65446618276816,39.70136523845993
-120.65439118332344,39.70163123935266
-120.65457618237303,39.70211623902729
-120.65455518245663,39.70228523898093
-120.6541231826365,39.703099238718146
-120.65411118294095,39.70344623949761
-120.65429418323905,39.70429423903704
-120.65454318365937,39.704520239866206
-120.65483118353947,39.70504623955973
-120.65491418338014,39.705409239403714
-120.65464118356867,39.70569923927382
-120.65438018345279,39.705827239643796
-120.65413718377853,39.706239239287264
-120.65424018281236,39.706634238943614
-120.6464781818021,39.70660524051022
-120.6461751818534,39.70661223994256
-120.64572118229194,39.706602240457094
-120.64375718211156,39.706594240314814
-120.6427261820667,39.70658024006361
-120.64251518217952,39.70659024024332
-120.63679818064219,39.70657024057351
-120.63674418111381,39.70657024057351
-120.62607717939167,39.70653124123525
-120.6199121781407,39.7065472422246
-120.61273917730938,39.70656824330151
-120.61053517692947,39.70657424271944
-120.60720417534695,39.70658424359118
-120.60435817508461,39.70657824348296
-120.6036101757953,39.706566243956125
-120.60332117519198,39.70657324339242
-120.60225917518501,39.7065702433379
-120.59576517404604,39.70655624377294
-120.58947117382195,39.7065422448962
-120.5892181732036,39.70654024485895
-120.58792417249472,39.706526244596795
-120.58765117268327,39.70655624446399
-120.58754417255315,39.70657724484706
-120.5874351727732,39.70659224442567
-120.58718117232999,39.70658424497334
-120.58692517223695,39.70656524532005
-120.58351917210796,39.70655224439031
-120.58106217200805,39.7065472456801
-120.57571417054167,39.706537245494104
-120.56929916994373,39.70652824670773
-120.5659101695332,39.70652424663241
-120.56311716897434,39.70652024655686
-120.56119816810144,39.70651824651898
-120.56059416785386,39.70651724650004
-120.55974816865525,39.706514246443085
-120.55738916846464,39.70650624767283
-120.55707616847022,39.70650524765371
-120.55320316656437,39.706501247577066
-120.55122216666553,39.70648424793979
-120.55087416740932,39.70648424793979
-120.54658216610211,39.706468248318046
-120.54555716590504,39.70646524825902
-120.54442316592802,39.70646124818005
-120.54395516612288,39.706459248140455
-120.54200916548585,39.706453248021425
-120.54146716516254,39.7064512486727
-120.54138816551983,39.7064512486727
-120.54106816585268,39.7064512486727
-120.54042716579518,39.70645724810085
-120.5394291653623,39.706459248140455
-120.53836716445699,39.706459248831564
-120.53254116403802,39.70647624916605
-120.53180316389616,39.706487249380274
-120.5313221636722,39.706482249283084
-120.53076316363048,39.70648324930258
-120.52769316396046,39.706491250148794
-120.52605016327213,39.70648925011012
-120.51902116148254,39.70647524983757
-120.51278416115986,39.70648225066531
-120.51083016012689,39.70648525072365
-120.5039541593965,39.70649025151168
-120.5010551585324,39.70649225085921
-120.4966331584272,39.70663825214341
-120.4953941579699,39.706627252644374
-120.49492115814186,39.706624252592206
-120.49318515756711,39.70661425172631
-120.49309415822884,39.70661325170877
-120.48800515722854,39.70658625330247
-120.4818161556881,39.70655725277559
-120.47235615463622,39.70650425385442
-120.47202515420011,39.70650225381612
-120.47184915447299,39.706501253796944
-120.46537115322758,39.706466254498594
-120.46538415364634,39.70713525475761
-120.46240715296446,39.707366255299014
-120.45847715295383,39.707672255274154
-120.45131815146792,39.708206255774286
-120.44634915101653,39.70857625619452
-120.44307814970846,39.70857025625958
-120.434325147938,39.70855325713209
-120.42967614805208,39.70854425722647
-120.4256251467693,39.70853525801077
-120.404013144389,39.708591259484976
-120.40373914385427,39.708590259496084
-120.39644414282424,39.70861726057358
-120.38550014109268,39.708636261735016
-120.37861713979127,39.70861926124171
-120.37604513916533,39.70861426199012
-120.3754151389785,39.70858726160253
-120.37454013946756,39.70858026167947
-120.37251213881476,39.708563261863404
-120.37147513802381,39.70855526263959
-120.36476213750005,39.7085002631996
-120.36421413732896,39.70849726322887
-120.36260013695292,39.70850426246927
-120.3612881367007,39.708505262459404
-120.3605861365438,39.7085002631996
-120.35993413661565,39.70849426325801
-120.35850813656057,39.70848126269176
-120.35792513622943,39.708478263411294
-120.35485613548599,39.70845326364337
-120.35018913515842,39.70841326399589
