id,time,longitude,latitude,depth,magnitude,place
nc73821426,2022-12-20 13:05:20.530,-124.3431667,40.5225,18.62,2.53,"9km SW of Ferndale, CA"
nc73821386,2022-12-20 12:40:17.080,-124.1985,40.6136667,23.94,2.52,"4km WNW of Fortuna, CA"
nc73821346,2022-12-20 12:21:43.940,-124.0973333,40.5956667,18.46,2.99,"5km E of Fortuna, CA"
nc73821341,2022-12-20 12:20:28.950,-124.3151667,40.5356667,18.32,2.56,"6km SW of Ferndale, CA"
nc73821321,2022-12-20 12:14:54.000,-124.3285,40.5405,19.24,2.53,"7km SW of Ferndale, CA"
nc73821296,2022-12-20 12:04:41.050,-123.8405,40.7355,19.76,2.81,"20km SE of Blue Lake, CA"
nc73821241,2022-12-20 11:48:34.080,-124.3983333,40.5285,18.15,2.75,"12km WSW of Ferndale, CA"
nc73821226,2022-12-20 11:42:54.980,-124.3145,40.529,17.94,3.02,"7km SW of Ferndale, CA"
nc73821196,2022-12-20 11:30:29.240,-124.4091667,40.5126667,16.91,2.74,"14km WSW of Ferndale, CA"
nc73821181,2022-12-20 11:21:40.110,-124.2598333,40.5871667,20.96,2.71,"1km NNE of Ferndale, CA"
nc73821176,2022-12-20 11:10:11.530,-124.3993333,40.5208333,19.89,2.66,"13km WSW of Ferndale, CA"
nc73821156,2022-12-20 11:09:01.730,-124.323,40.5405,17.94,2.99,"6km SW of Ferndale, CA"
nc73821146,2022-12-20 11:05:02.360,-124.3256667,40.5345,18.78,2.52,"7km SW of Ferndale, CA"
nc73821141,2022-12-20 11:03:09.540,-124.0923333,40.5868333,22.36,2.99,"4km N of Hydesville, CA"
nc73821136,2022-12-20 11:02:13.380,-124.3286667,40.5318333,18.03,2.72,"7km SW of Ferndale, CA"
nc73821126,2022-12-20 10:57:45.610,-124.3115,40.5386667,17.63,2.67,"6km SW of Ferndale, CA"
nc73821121,2022-12-20 10:54:50.580,-124.3126667,40.5436667,18.43,2.59,"6km SW of Ferndale, CA"
nc73821111,2022-12-20 10:53:16.680,-124.3543333,40.5273333,17.09,3.52,"9km SW of Ferndale, CA"
nc73821106,2022-12-20 10:52:39.630,-124.3128333,40.586,20.75,3.05,"4km WNW of Ferndale, CA"
nc73821116,2022-12-20 10:51:33.830,-124.3221667,40.5298333,18.08,2.68,"7km SW of Ferndale, CA"
nc73821081,2022-12-20 10:48:55.510,-124.1355,40.6,21.58,2.81,"2km E of Fortuna, CA"
nc73821076,2022-12-20 10:48:38.340,-123.9093333,40.5905,25.12,2.59,"17km ENE of Hydesville, CA"
nc73821071,2022-12-20 10:47:34.230,-124.063,40.6031667,15.37,2.51,"7km NNE of Hydesville, CA"
nc73821066,2022-12-20 10:43:39.890,-124.4081667,40.5183333,16.93,2.76,"14km WSW of Ferndale, CA"
nc73821046,2022-12-20 10:39:02.360,-124.1881667,40.5228333,26.55,4.92,"7km WNW of Rio Dell, CA"
nc73820626,2022-12-19 09:41:09.820,-119.8201667,37.3525,22.26,2.56,"8km W of Ahwahnee, CA"
nc73819746,2022-12-17 11:39:42.860,-122.304,37.9181667,5.48,3.57,"1km ENE of El Cerrito, CA"
ci40391032,2022-12-16 03:26:49.190,-117.8655,33.8498333,7.38,2.63,"2km S of Placentia, CA"
ci40390912,2022-12-15 22:08:53.140,-116.9858333,34.2301667,8.0,2.7,"7km WSW of Big Bear Lake, CA"
nc73819026,2022-12-15 19:33:28.750,-123.814,40.7115,20.84,2.54,"24km SE of Blue Lake, CA"
nc73818431,2022-12-14 01:55:15.630,-121.2621667,36.6455,5.57,2.58,"16km NW of Pinnacles, CA"
nc73818126,2022-12-13 12:31:28.820,-121.2093333,36.6046667,8.88,3.28,"10km NW of Pinnacles, CA"
nc73817871,2022-12-12 23:56:32.660,-122.8348333,38.8615,1.13,2.69,"11km WNW of Cobb, CA"
nc73817481,2022-12-12 01:04:54.450,-124.2786667,40.342,27.35,2.68,"2km NNE of Petrolia, CA"
nn00853171,2022-12-11 21:08:33.394,-117.8737,38.1822,8.9,2.6,Nevada
nc73816876,2022-12-10 06:27:32.440,-123.8715,39.6556667,4.62,2.81,"9km SSW of Cape Vizcaino, CA"
us6000j8c8,2022-12-10 03:34:21.409,-119.5777,41.9908,16.512,2.7,"49 km ENE of Fort Bidwell, California"
us6000j8bh,2022-12-10 01:04:12.211,-119.5654,41.9727,15.192,2.5,"50 km ENE of Fort Bidwell, California"
nn00853040,2022-12-09 07:10:32.555,-115.8331,38.3553,11.2,3.0,"79 km N of Rachel, Nevada"
ci40143903,2022-12-09 06:03:03.220,-116.0415,32.8348333,10.3,2.57,"12km NNW of Ocotillo, CA"
nc73816436,2022-12-09 05:33:33.340,-122.7863333,38.8013333,-0.05,2.58,"4km NW of The Geysers, CA"
nc73816346,2022-12-08 23:25:09.140,-121.6036667,36.873,4.73,2.65,"4km ESE of Aromas, CA"
nn00852980,2022-12-08 16:48:47.865,-119.5586,41.976,0.0,3.1,"50 km ENE of Fort Bidwell, California"
nn00852947,2022-12-08 06:59:28.145,-119.5579,41.9601,0.0,2.6,"50 km ENE of Fort Bidwell, California"
nc73815951,2022-12-08 02:46:32.300,-120.1395,39.631,-1.24,3.12,"10km ESE of Loyalton, CA"
ci40143335,2022-12-08 02:28:49.080,-118.393,35.5033333,4.85,2.62,"13km SE of Bodfish, CA"
ci40143255,2022-12-07 21:47:06.790,-117.032,34.1771667,7.42,2.71,"8km ESE of Running Springs, CA"
ci40142983,2022-12-07 14:13:22.690,-118.3915,35.5086667,5.07,3.59,"13 km SE of Bodfish, CA"
nn00852809,2022-12-07 07:38:27.905,-115.8032,38.3737,3.1,3.0,"81 km N of Rachel, Nevada"
ci40142759,2022-12-07 00:28:54.200,-117.708,36.0448333,1.79,2.74,"22km NE of Little Lake, CA"
ci40142751,2022-12-07 00:27:03.030,-117.7101667,36.0406667,1.8,2.71,"21km ENE of Little Lake, CA"
nn00852719,2022-12-06 08:43:21.532,-119.5587,41.9732,0.0,3.5,"50 km ENE of Fort Bidwell, California"
nc73815096,2022-12-06 03:33:01.930,-122.6663333,37.827,4.21,2.63,"8km WSW of Muir Beach, CA"
nc73814971,2022-12-06 00:10:37.510,-120.0126667,35.9356667,9.46,3.98,"9km SSW of Kettleman City, CA"
nc73814941,2022-12-05 23:13:16.710,-121.6876667,37.3258333,8.21,3.59,"13km ESE of Alum Rock, CA"
nc73814636,2022-12-05 03:20:59.510,-118.6121667,37.4771667,8.43,2.63,"7km N of Round Valley, CA"
nc73814616,2022-12-05 02:26:51.940,-120.026,35.9336667,7.93,2.84,"10km SW of Kettleman City, CA"
us6000j6uk,2022-12-04 13:14:57.948,-119.5948,41.9955,11.442,2.6,Nevada
us6000j6te,2022-12-04 06:53:48.761,-119.553,41.9856,16.465,3.0,"51 km ENE of Fort Bidwell, California"
nc73814346,2022-12-04 00:27:24.240,-121.9458333,37.8783333,16.47,2.9,"5km NNE of Diablo, CA"
nc73813981,2022-12-02 21:49:43.910,-120.8478333,36.249,8.15,2.6,"20km NE of San Lucas, CA"
ci40383632,2022-12-02 13:08:05.840,-119.2921667,34.4301667,10.61,2.59,"5km WSW of Ojai, CA"
nc73813816,2022-12-02 12:21:48.910,-118.338,37.1563333,8.17,3.91,"4km WSW of Big Pine, CA"
nc73813776,2022-12-02 10:36:11.990,-118.5341667,37.4156667,6.4,2.58,"6km E of Round Valley, CA"
ci40383568,2022-12-02 10:04:58.000,-118.1305,32.5355,5.96,2.88,"38km SSE of San Clemente Is. (SE tip), CA"
nc73813551,2022-12-01 21:17:12.070,-118.5338333,37.4171667,5.97,2.59,"6km E of Round Valley, CA"
ci40383192,2022-12-01 15:28:29.660,-116.0403333,32.8361667,10.46,3.82,"12km NNW of Ocotillo, CA"
nc73813076,2022-11-30 12:09:32.900,-123.0855,39.0416667,4.14,2.72,"12km SE of Talmage, CA"
nc73812746,2022-11-29 12:23:17.830,-123.1873333,39.8096667,7.75,2.53,"6km ENE of Covelo, CA"
ci40381488,2022-11-27 11:49:45.090,-116.0193333,33.1608333,3.29,2.63,"11km E of Ocotillo Wells, CA"
nn00852064,2022-11-26 14:37:19.088,-118.2341,37.9932,4.0,2.6,"28 km NE of Benton, California"
ci40381112,2022-11-26 07:34:42.900,-116.9095,35.5861667,1.99,2.52,"41km NNW of Fort Irwin, CA"
nc73811581,2022-11-26 03:15:51.460,-121.3368333,36.7043333,2.81,2.6,"10km S of Tres Pinos, CA"
nc73811561,2022-11-26 01:16:43.110,-121.2633333,36.6423333,6.36,2.7,"16km NW of Pinnacles, CA"
ci40380672,2022-11-25 09:06:01.510,-118.3508333,33.9923333,9.84,2.52,"0km SSW of View Park-Windsor Hills, CA"
nn00852012,2022-11-25 00:48:20.822,-116.7331,38.1701,2.1,2.6,"45 km ENE of Tonopah, Nevada"
nc73811036,2022-11-24 15:37:56.420,-120.5643333,36.0043333,4.14,2.51,"17km NW of Parkfield, CA"
ci40380264,2022-11-24 07:20:54.950,-115.5835,33.0695,11.77,3.01,"5km NE of Westmorland, CA"
nn00851982,2022-11-24 05:45:48.769,-115.7972,38.3674,6.7,2.5,"80 km N of Rachel, Nevada"
nc73810741,2022-11-23 22:34:02.290,-121.6641667,37.2916667,5.82,2.92,"15km E of Seven Trees, CA"
ci40380048,2022-11-23 22:16:57.350,-117.7658333,33.8758333,4.79,2.78,"5km ESE of Yorba Linda, CA"
ci40379888,2022-11-23 13:38:09.700,-117.4441667,35.6381667,6.62,2.51,"15km SSW of Searles Valley, CA"
ci40379696,2022-11-23 03:42:45.020,-115.9686667,32.91,9.87,2.57,"20km N of Ocotillo, CA"
nn00851914,2022-11-23 02:30:13.657,-117.8655,38.1864,6.3,3.5,"31 km SE of Mina, Nevada"
nn00851875,2022-11-22 23:31:31.671,-115.8266,38.3489,7.3,2.9,"78 km N of Rachel, Nevada"
nn00851872,2022-11-22 23:28:15.666,-115.9271,38.322,4.8,2.8,"76 km NNW of Rachel, Nevada"
nn00851705,2022-11-21 02:52:42.018,-118.2278,37.9964,5.4,2.9,"29 km NE of Benton, California"
nn00851695,2022-11-21 00:52:14.363,-115.8242,38.3662,10.4,3.0,"80 km N of Rachel, Nevada"
nc73809431,2022-11-19 21:49:22.100,-120.8061667,35.5711667,3.46,2.81,"9km WNW of Templeton, CA"
ci40377816,2022-11-19 04:15:41.720,-116.9511667,34.1968333,9.08,2.62,"6km SW of Big Bear Lake, CA"
nc73808001,2022-11-16 05:22:16.280,-122.4241667,37.4401667,10.54,2.83,"3km S of Half Moon Bay, CA"
nn00851327,2022-11-15 19:28:25.937,-117.8786,38.2014,8.2,2.5,"29 km SE of Mina, Nevada"
nn00851287,2022-11-15 04:01:52.499,-117.4792,39.3318,9.2,3.0,"37 km WNW of Kingston, Nevada"
nc73805095,2022-11-14 20:29:54.130,-122.7993333,38.8171667,3.39,2.69,"6km NW of The Geysers, CA"
nc73805070,2022-11-14 20:27:18.830,-122.793,38.82,2.92,2.96,"6km NNW of The Geysers, CA"
nc73804360,2022-11-12 17:06:55.630,-121.5528333,36.8175,6.37,2.73,"3km SSW of San Juan Bautista, CA"
nc73804285,2022-11-12 13:11:22.400,-119.5185,38.5111667,4.48,3.09,"3km W of Walker, CA"
nn00851168,2022-11-12 09:30:12.610,-117.8543,38.1878,6.2,2.5,"31 km SE of Mina, Nevada"
nc73804110,2022-11-12 04:31:09.900,-122.0476667,37.8308333,9.69,2.71,"2km SSW of Alamo, CA"
ci40131063,2022-11-11 12:05:35.820,-117.7288333,35.8905,2.73,2.8,"17km ESE of Little Lake, CA"
ci40131047,2022-11-11 11:16:19.920,-117.5666667,35.7415,3.56,3.19,"15km W of Searles Valley, CA"
nc73803290,2022-11-10 13:29:43.910,-122.735,38.8085,2.41,2.61,"2km SW of Cobb, CA"
nn00850988,2022-11-10 02:34:13.443,-119.1397,40.1488,8.2,2.5,"39 km NNE of Nixon, Nevada"
nn00850964,2022-11-10 00:06:43.616,-119.1438,40.1662,13.0,2.5,"41 km NNE of Nixon, Nevada"
nn00850892,2022-11-09 13:48:48.770,-119.1358,40.1633,8.0,2.6,"41 km NNE of Nixon, Nevada"
nc73802785,2022-11-08 16:35:25.910,-120.3948333,39.6085,-1.58,2.76,"15km WSW of Loyalton, CA"
nc73802750,2022-11-08 15:26:06.880,-123.115,39.4851667,3.83,2.63,"16km WNW of Lake Pillsbury, CA"
nn00850814,2022-11-08 13:42:31.680,-119.1389,40.1563,7.0,2.5,"40 km NNE of Nixon, Nevada"
nn00850805,2022-11-08 03:50:53.985,-119.148,40.172,8.3,3.3,"41 km NNE of Nixon, Nevada"
nc73802520,2022-11-07 19:41:35.350,-119.5206667,38.5181667,4.61,3.23,"4km W of Walker, CA"
nc73802510,2022-11-07 19:38:53.130,-123.1898333,39.7935,5.85,2.51,"5km E of Covelo, CA"
nc73802505,2022-11-07 19:32:58.440,-119.5126667,38.5203333,4.55,2.88,"3km WNW of Walker, CA"
ci40129991,2022-11-07 13:13:52.350,-118.2761667,32.727,5.85,2.63,"12km SSE of San Clemente Is. (SE tip), CA"
nc73804556,2022-11-07 02:01:27.780,-123.1165,39.4828333,5.64,3.76,"16km WNW of Lake Pillsbury, CA"
ci40129359,2022-11-05 20:39:33.120,-118.2781667,33.8315,11.22,2.69,"0km E of Carson, CA"
nc73803991,2022-11-05 19:06:48.590,-121.2515,36.629,9.46,2.8,"14km NW of Pinnacles, CA"
ci40129239,2022-11-05 10:59:26.120,-117.4993333,35.647,7.95,2.66,"16km SSW of Searles Valley, CA"
nc73803321,2022-11-04 20:27:36.120,-122.795,38.8333333,1.26,2.94,"6km WNW of Cobb, CA"
nc73803326,2022-11-04 20:26:32.930,-122.7961667,38.8331667,2.47,3.19,"6km W of Cobb, CA"
nc73803131,2022-11-04 11:46:03.760,-119.4043333,37.4886667,21.94,2.55,"28km NE of Oakhurst, CA"
nc73802826,2022-11-04 02:08:26.420,-122.8013333,38.8363333,1.81,2.83,"7km WNW of Cobb, CA"
nc73802691,2022-11-03 15:45:22.480,-121.7728333,37.43,8.78,2.8,"9km NE of Alum Rock, CA"
nc73802391,2022-11-02 11:12:23.450,-121.6745,37.3105,7.76,2.77,"15km E of Seven Trees, CA"
nc73802331,2022-11-02 04:58:23.840,-121.3175,36.6871667,3.1,2.54,"11km S of Tres Pinos, CA"
ci40127943,2022-11-01 05:23:47.890,-119.2718333,33.7098333,1.88,2.79,"33km NW of Santa Barbara Is., CA"
ci40127847,2022-10-31 22:53:45.650,-117.3248333,35.974,2.7,2.86,"24km NNE of Trona, CA"
nc73801601,2022-10-31 07:20:59.600,-121.6805,37.3158333,7.25,2.83,"14km ESE of Alum Rock, CA"
nc73801581,2022-10-31 06:06:32.330,-121.8145,37.6296667,8.56,2.8,"6km SE of Pleasanton, CA"
ci40127463,2022-10-31 04:52:58.560,-117.569,34.3418333,4.35,3.01,"6km ESE of Wrightwood, CA"
ci40127287,2022-10-30 13:24:56.920,-117.3738333,36.5111667,4.9,2.52,"23km WSW of Stovepipe Wells, CA"
ci40127223,2022-10-30 08:16:03.080,-117.2351667,34.0463333,15.17,2.85,"2km E of Loma Linda, CA"
nc73800236,2022-10-28 10:40:37.040,-121.3346667,36.9416667,7.04,2.92,"12km NNE of Hollister, CA"
nc73800056,2022-10-28 02:08:00.260,-118.8613333,37.611,2.54,2.87,"11km ESE of Mammoth Lakes, CA"
nc73799881,2022-10-27 20:35:07.210,-118.8613333,37.6091667,2.61,2.53,"11km ESE of Mammoth Lakes, CA"
nc73799821,2022-10-27 17:54:22.550,-124.3686667,40.3113333,28.88,3.66,"7km WSW of Petrolia, CA"
ci40366648,2022-10-27 12:01:01.620,-117.4845,35.6548333,2.06,2.62,"14km SSW of Searles Valley, CA"
ci40365968,2022-10-26 08:15:08.220,-116.7423333,33.6378333,13.73,2.75,"11km NW of Anza, CA"
ci40365960,2022-10-26 08:14:35.080,-116.7436667,33.6383333,13.64,2.85,"11km NW of Anza, CA"
nc73799336,2022-10-26 06:24:19.660,-119.534,38.5471667,4.12,3.05,"6km NW of Walker, CA"
nc73799211,2022-10-26 00:20:10.600,-121.6811667,37.3163333,7.98,2.72,"14km ESE of Alum Rock, CA"
nc73799186,2022-10-25 22:08:37.200,-121.6751667,37.3106667,8.05,3.54,"15km E of Seven Trees, CA"
nc73799096,2022-10-25 18:47:20.050,-121.6731667,37.3056667,6.66,2.94,"15km E of Seven Trees, CA"
nc73799091,2022-10-25 18:42:02.710,-121.672,37.3115,8.38,5.06,"15km ESE of Alum Rock, CA"
ci40365304,2022-10-24 23:19:02.470,-116.9996667,33.9898333,15.02,2.66,"5km E of Calimesa, CA"
nc73798496,2022-10-24 06:28:33.550,-122.779,38.7943333,3.35,2.52,"3km NW of The Geysers, CA"
nc73798306,2022-10-23 18:16:23.050,-124.14,40.5781667,28.35,4.1,"3km SSE of Fortuna, CA"
nc73798266,2022-10-23 15:14:11.820,-121.5215,37.1215,6.31,2.65,"9km ENE of San Martin, CA"
ci40364760,2022-10-23 09:24:58.150,-116.4261667,33.4806667,5.79,3.27,"23km SSW of La Quinta, CA"
nn00849783,2022-10-22 14:32:42.450,-114.5493,39.3107,10.0,2.9,"22 km ESE of McGill, Nevada"
nn00850566,2022-10-22 11:29:09.951,-116.7279,39.6703,15.9,2.6,"35 km ENE of Austin, Nevada"
nn00849777,2022-10-22 09:30:14.356,-116.9273,39.6096,12.8,3.4,"17 km NE of Austin, Nevada"
nn00849776,2022-10-22 07:22:45.991,-116.7163,39.6995,9.8,2.8,"38 km NE of Austin, Nevada"
nc73797801,2022-10-22 06:25:20.380,-122.608,37.8021667,4.82,2.57,"7km SSW of Muir Beach, CA"
nc73797716,2022-10-22 01:29:57.340,-124.0748333,40.5906667,24.1,2.61,"5km NNE of Hydesville, CA"
nc73797461,2022-10-21 18:54:22.400,-122.8228333,38.8256667,1.28,2.53,"8km NW of The Geysers, CA"
nc73797401,2022-10-21 18:50:26.600,-122.8171667,38.8333333,1.39,2.78,"8km NW of The Geysers, CA"
nc73797066,2022-10-20 20:02:47.270,-121.7188333,37.3605,6.42,2.52,"10km E of Alum Rock, CA"
nn00849678,2022-10-20 15:46:16.512,-118.8638,38.0721,12.7,2.5,California-Nevada border region
nc73796981,2022-10-20 15:46:16.400,-118.8585,38.0658333,10.77,2.63,"21km SE of Bodie, CA"
nc73796946,2022-10-20 15:07:11.570,-121.401,40.1221667,14.26,2.68,"18km NW of Belden, CA"
nc73796766,2022-10-20 07:55:16.770,-123.5185,40.3495,33.05,4.32,"36km NE of Redway, CA"
nc73796026,2022-10-20 00:02:34.810,-122.8108333,38.816,1.68,3.22,"6km NW of The Geysers, CA"
nc71129239,2022-10-20 00:00:10.180,-122.8098333,38.8233333,1.72,2.55,"7km NW of The Geysers, CA"
nc73795956,2022-10-19 23:59:50.050,-122.8078333,38.8176667,2.43,3.27,"6km NW of The Geysers, CA"
nc73795966,2022-10-19 23:59:04.760,-122.8151667,38.8121667,3.26,3.33,"6km NW of The Geysers, CA"
nc73795876,2022-10-19 20:59:32.730,-124.2983333,40.3865,26.46,2.67,"7km N of Petrolia, CA"
nc73795221,2022-10-18 11:05:47.380,-121.605,36.1438333,11.15,2.65,"14km NNW of Lopez Point, CA"
nc73795046,2022-10-17 21:56:47.280,-122.7543333,38.7928333,0.76,2.55,"2km N of The Geysers, CA"
ci40362256,2022-10-17 05:25:28.830,-116.888,33.4506667,12.71,2.56,"2km WNW of Aguanga, CA"
nc73794591,2022-10-16 20:10:26.310,-118.8795,37.5195,5.76,2.83,"16km SE of Mammoth Lakes, CA"
nc73793981,2022-10-15 17:30:41.780,-122.7143333,38.765,1.69,3.14,"2km WSW of Anderson Springs, CA"
nn00849345,2022-10-15 16:52:03.834,-117.8566,38.1836,7.5,2.9,"31 km SE of Mina, Nevada"
nn00849318,2022-10-15 03:27:45.212,-117.9446,38.1533,9.8,3.1,"29 km SSE of Mina, Nevada"
nn00849284,2022-10-14 21:38:56.637,-119.9641,39.353,7.3,2.8,"6 km SE of Floriston, California"
ci40360984,2022-10-14 17:24:22.310,-118.9916667,35.0453333,13.1,2.72,"13km NNW of Grapevine, CA"
nc73792771,2022-10-12 19:42:55.620,-123.0976667,39.0688333,5.41,2.73,"9km SE of Talmage, CA"
ci40359712,2022-10-12 12:54:07.000,-118.9958333,35.0486667,12.27,3.67,"13km NNW of Grapevine, CA"
ci40359472,2022-10-12 01:21:33.040,-118.2661667,33.8378333,10.75,2.52,"2km ENE of Carson, CA"
nc73792396,2022-10-12 00:28:36.750,-119.4411667,38.5498333,7.27,3.54,"5km NE of Walker, CA"
nc73792071,2022-10-11 06:47:42.690,-121.619,40.4825,16.83,2.75,"6km SE of Viola, CA"
nn00848972,2022-10-10 22:35:23.589,-119.9712,39.3511,7.2,2.8,"6 km SE of Floriston, California"
ci40358456,2022-10-10 10:12:44.470,-117.5615,35.6735,7.9,2.88,"12km ENE of Ridgecrest, CA"
ci40358328,2022-10-09 21:48:21.120,-117.4841667,35.6578333,4.94,3.01,"14km SSW of Searles Valley, CA"
nc73790646,2022-10-07 23:27:45.850,-122.4965,37.663,5.41,2.56,"4km WSW of Colma, CA"
