id,time,longitude,latitude,depth,magnitude,place
nc73822021,2022-12-20 22:01:19.480,-124.1055,40.5795,21.72,2.58,"4km N of Hydesville, CA"
nc73821996,2022-12-20 20:25:47.300,-124.3391667,40.547,15.42,2.53,"7km WSW of Ferndale, CA"
nc73821776,2022-12-20 17:00:57.230,-124.3565,40.5368333,16.77,2.81,"9km WSW of Ferndale, CA"
nc73821766,2022-12-20 16:40:03.440,-124.3358333,40.5416667,16.98,2.7,"7km WSW of Ferndale, CA"
nc73821761,2022-12-20 16:33:41.550,-124.3623333,40.5303333,17.7,3.2,"10km WSW of Ferndale, CA"
nc73821666,2022-12-20 15:33:26.910,-124.3181667,40.5461667,18.06,3.18,"6km SW of Ferndale, CA"
nc71129529,2022-12-20 15:33:01.090,-124.0028333,40.6371667,18.27,2.91,"13km NE of Hydesville, CA"
us6000jal4,2022-12-20 15:33:00.607,-124.0079,40.6659,25.886,2.6,"14 km ESE of Pine Hills, California"
nc73821656,2022-12-20 15:30:01.280,-123.9766667,40.5656667,20.1,3.01,"10km E of Hydesville, CA"
nc73821636,2022-12-20 15:09:05.740,-124.0688333,40.6005,22.5,3.99,"6km NNE of Hydesville, CA"
nc73821551,2022-12-20 14:10:59.980,-123.8398333,40.7291667,19.47,2.66,"21km SE of Blue Lake, CA"
nc73821486,2022-12-20 13:35:06.290,-124.324,40.5268333,18.0,3.4,"8km SW of Ferndale, CA"
nc73821476,2022-12-20 13:30:45.350,-124.3268333,40.5228333,18.34,2.57,"8km SW of Ferndale, CA"
nc73821431,2022-12-20 13:08:15.260,-124.3391667,40.5166667,17.75,2.52,"9km SW of Ferndale, CA"
nc73821426,2022-12-20 13:05:20.530,-124.3431667,40.5225,18.62,2.53,"9km SW of Ferndale, CA"
nc73821386,2022-12-20 12:40:17.080,-124.1985,40.6136667,23.94,2.52,"4km WNW of Fortuna, CA"
nc73821346,2022-12-20 12:21:43.940,-124.0973333,40.5956667,18.46,2.99,"5km E of Fortuna, CA"
nc73821341,2022-12-20 12:20:28.950,-124.3151667,40.5356667,18.32,2.56,"6km SW of Ferndale, CA"
nc73821321,2022-12-20 12:14:54.000,-124.3285,40.5405,19.24,2.53,"7km SW of Ferndale, CA"
nc73821296,2022-12-20 12:04:41.050,-123.8405,40.7355,19.76,2.81,"20km SE of Blue Lake, CA"
nc73821226,2022-12-20 11:42:54.980,-124.3145,40.529,17.94,3.02,"7km SW of Ferndale, CA"
nc73821181,2022-12-20 11:21:40.110,-124.2598333,40.5871667,20.96,2.71,"1km NNE of Ferndale, CA"
nc73821156,2022-12-20 11:09:01.730,-124.323,40.5405,17.94,2.99,"6km SW of Ferndale, CA"
nc73821146,2022-12-20 11:05:02.360,-124.3256667,40.5345,18.78,2.52,"7km SW of Ferndale, CA"
nc73821141,2022-12-20 11:03:09.540,-124.0923333,40.5868333,22.36,2.99,"4km N of Hydesville, CA"
nc73821136,2022-12-20 11:02:13.380,-124.3286667,40.5318333,18.03,2.72,"7km SW of Ferndale, CA"
nc73821126,2022-12-20 10:57:45.610,-124.3115,40.5386667,17.63,2.67,"6km SW of Ferndale, CA"
nc73821121,2022-12-20 10:54:50.580,-124.3126667,40.5436667,18.43,2.59,"6km SW of Ferndale, CA"
nc73821111,2022-12-20 10:53:16.680,-124.3543333,40.5273333,17.09,3.52,"9km SW of Ferndale, CA"
nc73821106,2022-12-20 10:52:39.630,-124.3128333,40.586,20.75,3.05,"4km WNW of Ferndale, CA"
nc73821116,2022-12-20 10:51:33.830,-124.3221667,40.5298333,18.08,2.68,"7km SW of Ferndale, CA"
nc73821081,2022-12-20 10:48:55.510,-124.1355,40.6,21.58,2.81,"2km E of Fortuna, CA"
nc73821076,2022-12-20 10:48:38.340,-123.9093333,40.5905,25.12,2.59,"17km ENE of Hydesville, CA"
nc73821071,2022-12-20 10:47:34.230,-124.063,40.6031667,15.37,2.51,"7km NNE of Hydesville, CA"
nc73821046,2022-12-20 10:39:02.360,-124.1881667,40.5228333,26.55,4.92,"7km WNW of Rio Dell, CA"
nc73820626,2022-12-19 09:41:09.820,-119.8201667,37.3525,22.26,2.56,"8km W of Ahwahnee, CA"
nc73819746,2022-12-17 11:39:42.860,-122.304,37.9181667,5.48,3.57,"1km ENE of El Cerrito, CA"
ci40391032,2022-12-16 03:26:49.190,-117.8655,33.8498333,7.38,2.63,"2km S of Placentia, CA"
ci40390912,2022-12-15 22:08:53.140,-116.9858333,34.2301667,8.0,2.7,"7km WSW of Big Bear Lake, CA"
nc73819026,2022-12-15 19:33:28.750,-123.814,40.7115,20.84,2.54,"24km SE of Blue Lake, CA"
nc73818431,2022-12-14 01:55:15.630,-121.2621667,36.6455,5.57,2.58,"16km NW of Pinnacles, CA"
nc73818126,2022-12-13 12:31:28.820,-121.2093333,36.6046667,8.88,3.28,"10km NW of Pinnacles, CA"
nc73817871,2022-12-12 23:56:32.660,-122.8348333,38.8615,1.13,2.69,"11km WNW of Cobb, CA"
nc73817481,2022-12-12 01:04:54.450,-124.2786667,40.342,27.35,2.68,"2km NNE of Petrolia, CA"
ci40143903,2022-12-09 06:03:03.220,-116.0415,32.8348333,10.3,2.57,"12km NNW of Ocotillo, CA"
nc73816436,2022-12-09 05:33:33.340,-122.7863333,38.8013333,-0.05,2.58,"4km NW of The Geysers, CA"
nc73816346,2022-12-08 23:25:09.140,-121.6036667,36.873,4.73,2.65,"4km ESE of Aromas, CA"
nc73815951,2022-12-08 02:46:32.300,-120.1395,39.631,-1.24,3.12,"10km ESE of Loyalton, CA"
ci40143335,2022-12-08 02:28:49.080,-118.393,35.5033333,4.85,2.62,"13km SE of Bodfish, CA"
ci40143255,2022-12-07 21:47:06.790,-117.032,34.1771667,7.42,2.71,"8km ESE of Running Springs, CA"
ci40142983,2022-12-07 14:13:22.690,-118.3915,35.5086667,5.07,3.59,"13 km SE of Bodfish, CA"
ci40142759,2022-12-07 00:28:54.200,-117.708,36.0448333,1.79,2.74,"22km NE of Little Lake, CA"
ci40142751,2022-12-07 00:27:03.030,-117.7101667,36.0406667,1.8,2.71,"21km ENE of Little Lake, CA"
nc73814971,2022-12-06 00:10:37.510,-120.0126667,35.9356667,9.46,3.98,"9km SSW of Kettleman City, CA"
nc73814941,2022-12-05 23:13:16.710,-121.6876667,37.3258333,8.21,3.59,"13km ESE of Alum Rock, CA"
nc73814636,2022-12-05 03:20:59.510,-118.6121667,37.4771667,8.43,2.63,"7km N of Round Valley, CA"
nc73814616,2022-12-05 02:26:51.940,-120.026,35.9336667,7.93,2.84,"10km SW of Kettleman City, CA"
nc73814346,2022-12-04 00:27:24.240,-121.9458333,37.8783333,16.47,2.9,"5km NNE of Diablo, CA"
nc73813981,2022-12-02 21:49:43.910,-120.8478333,36.249,8.15,2.6,"20km NE of San Lucas, CA"
ci40383632,2022-12-02 13:08:05.840,-119.2921667,34.4301667,10.61,2.59,"5km WSW of Ojai, CA"
nc73813816,2022-12-02 12:21:48.910,-118.338,37.1563333,8.17,3.91,"4km WSW of Big Pine, CA"
nc73813776,2022-12-02 10:36:11.990,-118.5341667,37.4156667,6.4,2.58,"6km E of Round Valley, CA"
nc73813551,2022-12-01 21:17:12.070,-118.5338333,37.4171667,5.97,2.59,"6km E of Round Valley, CA"
ci40383192,2022-12-01 15:28:29.660,-116.0403333,32.8361667,10.46,3.82,"12km NNW of Ocotillo, CA"
nc73813076,2022-11-30 12:09:32.900,-123.0855,39.0416667,4.14,2.72,"12km SE of Talmage, CA"
nc73812746,2022-11-29 12:23:17.830,-123.1873333,39.8096667,7.75,2.53,"6km ENE of Covelo, CA"
ci40381488,2022-11-27 11:49:45.090,-116.0193333,33.1608333,3.29,2.63,"11km E of Ocotillo Wells, CA"
ci40381112,2022-11-26 07:34:42.900,-116.9095,35.5861667,1.99,2.52,"41km NNW of Fort Irwin, CA"
nc73811581,2022-11-26 03:15:51.460,-121.3368333,36.7043333,2.81,2.6,"10km S of Tres Pinos, CA"
nc73811561,2022-11-26 01:16:43.110,-121.2633333,36.6423333,6.36,2.7,"16km NW of Pinnacles, CA"
ci40380672,2022-11-25 09:06:01.510,-118.3508333,33.9923333,9.84,2.52,"0km SSW of View Park-Windsor Hills, CA"
nc73811036,2022-11-24 15:37:56.420,-120.5643333,36.0043333,4.14,2.51,"17km NW of Parkfield, CA"
ci40380264,2022-11-24 07:20:54.950,-115.5835,33.0695,11.77,3.01,"5km NE of Westmorland, CA"
